year,rad1,rad2,rad3,rad4,rad5,rad6,rad7,rad8,rad9,rad10,rad11,rad12
2010,8.1,9.1,12.2,14.5,19.2,18.4,17.6,17.7,11.1,9.6,8,6.6
2011,8.3,11.4,14.5,17.9,18.1,16.8,16.5,15.6,13.8,10.7,7.6,6.4
2012,7.5,9.3,12.8,15,17.1,16.8,15,18.6,13.6,10.7,7.4,6.3
2013,8.4,11.1,14.1,16.5,21.7,17.8,11.8,16.6,13,8.4,8,6.1
2014,8.2,10.2,12.9,19.9,19,16.1,15.7,13.6,14.3,11,7.1,5.9
2015,7.4,9.8,14.1,16.4,22.1,16.4,16.2,12.3,11.7,13,6.5,6.8
2016,7.2,11.1,14.9,17.4,18.3,16.7,15.1,17.1,10.7,11,7.8,6.6
2017,7.8,11.3,13.8,17.9,18.1,19.3,16.9,10.8,14.8,7.6,7.6,6.9
2018,8.1,12.2,15.3,16.4,17.6,18.4,19.3,15.3,10.3,10.1,8.2,6.4
2019,8.9,10.4,14.5,17.6,22.7,15.8,13.4,15.9,13.2,9.3,8.8,6.8
