year,solar_radiation,mean_air_temperature,mean_wind_speed,mean_relative_humidity,percentage_possible_sunshine,total_precipitation,total_sunshine_duration
Jan-10,8.1,-3.4,5.5,75,14,75.5,40.4
Feb-10,9.1,-4.9,4.1,74,17,109.5,48.8
Mar-10,12.2,-1.4,4.7,68,29,100.5,108
Apr-10,14.5,3.5,4.3,77,36,94,146.2
May-10,19.2,7.3,4.9,86,37,76.5,168.6
Jun-10,18.4,15,4,87,44,31.5,204.7
Jul-10,17.6,18.1,3.3,91,16,233.5,73.8
Aug-10,17.7,22.4,4.1,85,40,99.5,174.1
Sep-10,11.1,18.4,4.1,72,55,170.5,205
Oct-10,9.6,11.4,3.7,72,46,97,156.1
Nov-10,8,4.8,5.2,71,22,108.5,62.8
Dec-10,6.6,-1.1,5.1,76,11,116,31.1
Jan-11,8.3,-5.1,4.8,75,20,64.5,55.9
Feb-11,11.4,-2.2,4.4,70,30,39.5,85.2
Mar-11,14.5,-0.6,3.9,69,42,58,153.3
Apr-11,17.9,4.4,5.7,77,36,92,143.2
May-11,18.1,6.5,4.7,85,30,68.5,138.6
Jun-11,16.8,12.8,4.1,89,25,67,118.7
Jul-11,16.5,17.5,3.3,89,29,51,136.6
Aug-11,15.6,21.5,3.6,83,40,56.5,174.3
Sep-11,13.8,18.3,4.5,77,45,312,168.9
Oct-11,10.7,12.1,4.7,69,42,116,143
Nov-11,7.6,4.9,4.9,68,28,92.5,80.1
Dec-11,6.4,-2.3,5,74,12,186.5,32.7
Jan-12,7.5,-5.4,4.7,72,15,79.5,41.3
Feb-12,9.3,-6.4,5,69,25,76.5,73.6
Mar-12,12.8,-2.4,4.5,72,37,52,134.1
Apr-12,15,4.6,3.9,75,49,43,198.9
May-12,17.1,8.9,4.1,83,31,64.5,140.4
Jun-12,16.8,12.6,3.9,82,45,23.5,211.5
Jul-12,15,17.2,3.7,88,25,107,119.3
Aug-12,18.6,20.4,3.7,84,36,129.5,155.7
Sep-12,13.6,19.4,4.1,82,33,169,125.7
Oct-12,10.7,11.8,4.8,68,37,110.5,124.1
Nov-12,7.4,3.8,6.2,76,13,157,36.1
Dec-12,6.3,-3,5.5,73,6,147.5,16.7
Jan-13,8.4,-5.8,5.6,73,14,124,38.7
Feb-13,11.1,-5.1,5.3,71,22,49,62.6
Mar-13,14.1,-1.3,5.7,67,26,69.5,97
Apr-13,16.5,4.5,4.9,74,41,78,165
May-13,21.7,7.2,4.7,84,26,52,117.5
Jun-13,17.8,14,4,83,40,29,186.1
Jul-13,11.8,18.9,3.9,85,44,23.5,208.9
Aug-13,16.6,20.2,4.5,84,26,116,113.6
Sep-13,13,17.6,4.1,73,40,110,150.8
Oct-13,8.4,11.8,4.8,70,41,106.5,139.9
Nov-13,8,5.5,4.7,68,25,194.5,71
Dec-13,6.1,-0.2,5.9,70,12,93.5,33
Jan-14,8.2,-5.3,4.4,69,16,105,44.1
Feb-14,10.2,-4.2,5.6,70,34,44,96.7
Mar-14,12.9,-1.2,4.9,69,52,20,189.9
Apr-14,19.9,3.9,5.6,73,54,34.5,217.2
