year,total_precipitation,mean_wind_speed,mean_relative_humidity,percentage_possible_sunshine,total_sunshine_duration,solar_radiation,mean_air_temperature
Jan-10,75.5,5.5,75,14,40.4,3.8,-3.4
Feb-10,109.5,4.1,74,17,48.8,6.2,-4.9
Mar-10,100.5,4.7,68,29,108,10.5,-1.4
Apr-10,94,4.3,77,36,146.2,13.9,3.5
May-10,76.5,4.9,86,37,168.6,16.5,7.3
Jun-10,31.5,4,87,44,204.7,20.8,15
Jul-10,233.5,3.3,91,16,73.8,12.3,18.1
Aug-10,99.5,4.1,85,40,174.1,16.3,22.4
Sep-10,170.5,4.1,72,55,205,14.5,18.4
Oct-10,97,3.7,72,46,156.1,9.2,11.4
Nov-10,108.5,5.2,71,22,62.8,4.3,4.8
Dec-10,116,5.1,76,11,31.1,2.8,-1.1
Jan-11,64.5,4.8,75,20,55.9,4.7,-5.1
Feb-11,39.5,4.4,70,30,85.2,7.7,-2.2
Mar-11,58,3.9,69,42,153.3,12.8,-0.6
Apr-11,92,5.7,77,36,143.2,14.3,4.4
May-11,68.5,4.7,85,30,138.6,15.1,6.5
Jun-11,67,4.1,89,25,118.7,16.5,12.8
Jul-11,51,3.3,89,29,136.6,16.6,17.5
Aug-11,56.5,3.6,83,40,174.3,15.6,21.5
Sep-11,312,4.5,77,45,168.9,12.1,18.3
Oct-11,116,4.7,69,42,143,8.3,12.1
Nov-11,92.5,4.9,68,28,80.1,4.5,4.9
Dec-11,186.5,5,74,12,32.7,2.8,-2.3
Jan-12,79.5,4.7,72,15,41.3,4.1,-5.4
Feb-12,76.5,5,69,25,73.6,7,-6.4
Mar-12,52,4.5,72,37,134.1,11.6,-2.4
Apr-12,43,3.9,75,49,198.9,16.5,4.6
May-12,64.5,4.1,83,31,140.4,15.6,8.9
Jun-12,23.5,3.9,82,45,211.5,20.3,12.6
Jul-12,107,3.7,88,25,119.3,15.2,17.2
Aug-12,129.5,3.7,84,36,155.7,15.4,20.4
Sep-12,169,4.1,82,33,125.7,10.5,19.4
Oct-12,110.5,4.8,68,37,124.1,8.2,11.8
Nov-12,157,6.2,76,13,36.1,3.3,3.8
Dec-12,147.5,5.5,73,6,16.7,2.4,-3
Jan-13,124,5.6,73,14,38.7,3.8,-5.8
Feb-13,49,5.3,71,22,62.6,7,-5.1
Mar-13,69.5,5.7,67,26,97,9.9,-1.3
Apr-13,78,4.9,74,41,165,15.2,4.5
May-13,52,4.7,84,26,117.5,14.4,7.2
Jun-13,29,4,83,40,186.1,19.4,14
