year,total_precipitation,mean_air_temperature,mean_wind_speed,percentage_possible_sunshine,total_sunshine_duration,solar_radiation,mean_relative_humidity
Jan-10,75.5,-3.4,5.5,14,40.4,8.1,75
Feb-10,109.5,-4.9,4.1,17,48.8,9.1,74
Mar-10,100.5,-1.4,4.7,29,108,12.2,68
Apr-10,94,3.5,4.3,36,146.2,14.5,77
May-10,76.5,7.3,4.9,37,168.6,19.2,86
Jun-10,31.5,15,4,44,204.7,18.4,87
Jul-10,233.5,18.1,3.3,16,73.8,17.6,91
Aug-10,99.5,22.4,4.1,40,174.1,17.7,85
Sep-10,170.5,18.4,4.1,55,205,11.1,72
Oct-10,97,11.4,3.7,46,156.1,9.6,72
Nov-10,108.5,4.8,5.2,22,62.8,8,71
Dec-10,116,-1.1,5.1,11,31.1,6.6,76
Jan-11,64.5,-5.1,4.8,20,55.9,8.3,75
Feb-11,39.5,-2.2,4.4,30,85.2,11.4,70
Mar-11,58,-0.6,3.9,42,153.3,14.5,69
Apr-11,92,4.4,5.7,36,143.2,17.9,77
May-11,68.5,6.5,4.7,30,138.6,18.1,85
Jun-11,67,12.8,4.1,25,118.7,16.8,89
Jul-11,51,17.5,3.3,29,136.6,16.5,89
Aug-11,56.5,21.5,3.6,40,174.3,15.6,83
Sep-11,312,18.3,4.5,45,168.9,13.8,77
Oct-11,116,12.1,4.7,42,143,10.7,69
Nov-11,92.5,4.9,4.9,28,80.1,7.6,68
Dec-11,186.5,-2.3,5,12,32.7,6.4,74
Jan-12,79.5,-5.4,4.7,15,41.3,7.5,72
Feb-12,76.5,-6.4,5,25,73.6,9.3,69
Mar-12,52,-2.4,4.5,37,134.1,12.8,72
Apr-12,43,4.6,3.9,49,198.9,15,75
May-12,64.5,8.9,4.1,31,140.4,17.1,83
Jun-12,23.5,12.6,3.9,45,211.5,16.8,82
Jul-12,107,17.2,3.7,25,119.3,15,88
Aug-12,129.5,20.4,3.7,36,155.7,18.6,84
Sep-12,169,19.4,4.1,33,125.7,13.6,82
Oct-12,110.5,11.8,4.8,37,124.1,10.7,68
Nov-12,157,3.8,6.2,13,36.1,7.4,76
Dec-12,147.5,-3,5.5,6,16.7,6.3,73
Jan-13,124,-5.8,5.6,14,38.7,8.4,73
Feb-13,49,-5.1,5.3,22,62.6,11.1,71
Mar-13,69.5,-1.3,5.7,26,97,14.1,67
Apr-13,78,4.5,4.9,41,165,16.5,74
May-13,52,7.2,4.7,26,117.5,21.7,84
Jun-13,29,14,4,40,186.1,17.8,83
Jul-13,23.5,18.9,3.9,44,208.9,11.8,85
Aug-13,116,20.2,4.5,26,113.6,16.6,84
Sep-13,110,17.6,4.1,40,150.8,13,73
Oct-13,106.5,11.8,4.8,41,139.9,8.4,70
Nov-13,194.5,5.5,4.7,25,71,8,68
Dec-13,93.5,-0.2,5.9,12,33,6.1,70
Jan-14,105,-5.3,4.4,16,44.1,8.2,69
Feb-14,44,-4.2,5.6,34,96.7,10.2,70
Mar-14,20,-1.2,4.9,52,189.9,12.9,69
Apr-14,34.5,3.9,5.6,54,217.2,19.9,73
May-14,62,8.7,5.2,31,141.5,19,82
Jun-14,144.5,13.9,4.2,38,176.1,16.1,82
Jul-14,44,19.2,4.1,34,162.7,15.7,85
Aug-14,275.5,20,3.8,42,182.1,13.6,83
Sep-14,256.5,16.7,4.3,42,158.5,14.3,76
